0,1,2,3,4,5,6,7,8,9,10
sausage,misc. beverages,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
shopping bags,dessert,processed cheese,,,,,,,,
berries,grapes,other vegetables,,,,,,,,
citrus fruit,whole milk,beef,shopping bags,,,,,,,
yogurt,yogurt,,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
fish,whole milk,,,,,,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
beef,yogurt,,,,,,,,,
grapes,frozen vegetables,,,,,,,,,
pork,pastry,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
hamburger meat,tropical fruit,bottled water,whipped/sour cream,flour,,,,,,
onions,other vegetables,,,,,,,,,
rolls/buns,chicken,shopping bags,hard cheese,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
canned beer,soda,,,,,,,,,
bottled water,beverages,,,,,,,,,
root vegetables,grapes,brandy,pickled vegetables,pastry,,,,,,
onions,onions,,,,,,,,,
soft cheese,bottled water,,,,,,,,,
cake bar,pastry,butter,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
frozen chicken,dessert,,,,,,,,,
specialty chocolate,soda,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
red/blush wine,dog food,,,,,,,,,
sausage,whole milk,bottled water,,,,,,,,
grapes,chicken,,,,,,,,,
UHT-milk,newspapers,bottled water,,,,,,,,
other vegetables,zwieback,,,,,,,,,
canned beer,soda,frozen vegetables,,,,,,,,
onions,root vegetables,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
beef,waffles,salty snack,,,,,,,,
pasta,newspapers,,,,,,,,,
beverages,shopping bags,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,candy,,,,,,,,,
bottled water,other vegetables,coffee,soda,,,,,,,
misc. beverages,waffles,bottled beer,,,,,,,,
sausage,pastry,,,,,,,,,
other vegetables,whole milk,house keeping products,,,,,,,,
yogurt,long life bakery product,newspapers,,,,,,,,
cream,frankfurter,soda,UHT-milk,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
soda,oil,,,,,,,,,
other vegetables,domestic eggs,napkins,,,,,,,,
oil,other vegetables,,,,,,,,,
tropical fruit,bottled beer,cake bar,yogurt,,,,,,,
whole milk,curd,hygiene articles,,,,,,,,
rolls/buns,sliced cheese,,,,,,,,,
instant coffee,candles,,,,,,,,,
citrus fruit,ice cream,butter,shopping bags,,,,,,,
frankfurter,specialty chocolate,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
chicken,yogurt,,,,,,,,,
ham,berries,,,,,,,,,
beef,soda,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
kitchen towels,shopping bags,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
sausage,canned beer,kitchen towels,,,,,,,,
sausage,hair spray,canned beer,,,,,,,,
sausage,domestic eggs,domestic eggs,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
sausage,soda,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
chicken,curd,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
soft cheese,pip fruit,whole milk,,,,,,,,
soda,chocolate,,,,,,,,,
bottled water,salty snack,brown bread,,,,,,,,
beef,waffles,,,,,,,,,
canned vegetables,other vegetables,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
onions,waffles,,,,,,,,,
frankfurter,berries,,,,,,,,,
oil,chicken,,,,,,,,,
sausage,bottled water,whole milk,ketchup,soda,chewing gum,,,,,
chicken,yogurt,,,,,,,,,
whole milk,soda,pickled vegetables,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
turkey,pip fruit,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
sausage,yogurt,,,,,,,,,
chicken,bottled water,,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
misc. beverages,salt,candy,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
berries,pip fruit,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
other vegetables,margarine,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
UHT-milk,brown bread,whole milk,ice cream,,,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
whipped/sour cream,other vegetables,shopping bags,,,,,,,,
butter milk,whole milk,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
flower (seeds),margarine,,,,,,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
tropical fruit,sausage,,,,,,,,,
cat food,pet care,oil,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
tropical fruit,candy,,,,,,,,,
organic sausage,yogurt,,,,,,,,,
coffee,frozen vegetables,,,,,,,,,
whole milk,margarine,sugar,,,,,,,,
ham,pastry,,,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
whole milk,tropical fruit,chocolate,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
pork,white bread,,,,,,,,,
soda,other vegetables,,,,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
rolls/buns,soda,,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
bottled water,berries,oil,,,,,,,,
pastry,red/blush wine,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,berries,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
bottled water,whole milk,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
bottled water,flour,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
tropical fruit,salty snack,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
yogurt,margarine,yogurt,soft cheese,,,,,,,
beef,instant coffee,,,,,,,,,
chicken,cling film/bags,rolls/buns,,,,,,,,
tropical fruit,UHT-milk,candy,,,,,,,,
chicken,coffee,,,,,,,,,
meat,rolls/buns,,,,,,,,,
other vegetables,sausage,rolls/buns,domestic eggs,waffles,whole milk,,,,,
rolls/buns,salty snack,,,,,,,,,
root vegetables,salt,,,,,,,,,
misc. beverages,berries,,,,,,,,,
citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
soda,pastry,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
pastry,onions,,,,,,,,,
bottled beer,white bread,,,,,,,,,
chicken,whole milk,specialty bar,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
whole milk,pastry,,,,,,,,,
red/blush wine,shopping bags,,,,,,,,,
tropical fruit,pip fruit,herbs,yogurt,bottled water,sweet spreads,,,,,
pip fruit,whole milk,napkins,,,,,,,,
sliced cheese,onions,,,,,,,,,
sausage,soda,,,,,,,,,
beef,frozen meals,white bread,,,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
hygiene articles,newspapers,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
bottled water,dishes,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
sausage,rolls/buns,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
yogurt,pasta,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
shopping bags,margarine,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
whole milk,flour,berries,,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
whole milk,bottled beer,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
beef,shopping bags,,,,,,,,,
bottled beer,liver loaf,bottled water,pastry,,,,,,,
sausage,rolls/buns,rice,,,,,,,,
sausage,pasta,,,,,,,,,
beef,root vegetables,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
other vegetables,other vegetables,rolls/buns,,,,,,,,
frankfurter,dog food,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
bottled water,newspapers,specialty bar,bottled water,,,,,,,
berries,mayonnaise,,,,,,,,,
coffee,pip fruit,,,,,,,,,
rolls/buns,baby cosmetics,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
canned beer,spices,rolls/buns,frozen fish,,,,,,,
chicken,pork,brandy,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
ham,whole milk,,,,,,,,,
soda,frankfurter,soda,salty snack,bottled water,frozen vegetables,yogurt,,,,
onions,frozen vegetables,,,,,,,,,
canned beer,whole milk,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
whole milk,pork,,,,,,,,,
whipped/sour cream,roll products ,,,,,,,,,
sausage,pork,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
sausage,beverages,,,,,,,,,
curd,root vegetables,dish cleaner,,,,,,,,
yogurt,other vegetables,baking powder,candy,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
onions,instant coffee,,,,,,,,,
specialty chocolate,white wine,nuts/prunes,cream cheese ,cake bar,yogurt,frozen vegetables,,,,
grapes,whipped/sour cream,soda,,,,,,,,
butter milk,pet care,,,,,,,,,
dog food,curd,,,,,,,,,
UHT-milk,specialty cheese,,,,,,,,,
dishes,brown bread,,,,,,,,,
chicken,beef,white bread,semi-finished bread,,,,,,,
whole milk,other vegetables,rice,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
ice cream,pork,,,,,,,,,
tropical fruit,candy,,,,,,,,,
meat,yogurt,,,,,,,,,
white bread,bottled water,,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
misc. beverages,spread cheese,,,,,,,,,
whole milk,soda,shopping bags,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
domestic eggs,softener,,,,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
citrus fruit,sauces,long life bakery product,,,,,,,,
berries,herbs,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
whole milk,roll products ,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
yogurt,pastry,,,,,,,,,
pasta,canned beer,,,,,,,,,
white bread,other vegetables,whipped/sour cream,UHT-milk,margarine,,,,,,
soda,curd,sliced cheese,,,,,,,,
whole milk,sausage,root vegetables,long life bakery product,frozen vegetables,,,,,,
beverages,specialty fat,,,,,,,,,
semi-finished bread,salty snack,waffles,frozen dessert,,,,,,,
chicken,domestic eggs,white bread,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
pork,packaged fruit/vegetables,chocolate,,,,,,,,
honey,salty snack,,,,,,,,,
dessert,other vegetables,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
condensed milk,pastry,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
canned beer,turkey,,,,,,,,,
root vegetables,soda,,,,,,,,,
meat,newspapers,cleaner,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
ham,cream cheese ,other vegetables,oil,candy,,,,,,
pork,frozen dessert,,,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
pip fruit,pastry,,,,,,,,,
specialty cheese,sliced cheese,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
sausage,soda,bottled water,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,whole milk,white bread,cat food,brown bread,bottled beer,,,,,
pork,hamburger meat,,,,,,,,,
chicken,house keeping products,,,,,,,,,
margarine,soda,,,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
dishes,whole milk,oil,onions,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
butter,whole milk,,,,,,,,,
whipped/sour cream,cake bar,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
oil,pork,other vegetables,frozen meals,,,,,,,
root vegetables,meat,,,,,,,,,
soda,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
cream cheese ,frozen meals,,,,,,,,,
frankfurter,whole milk,instant coffee,bottled water,,,,,,,
frankfurter,frankfurter,pip fruit,yogurt,,,,,,,
hard cheese,white wine,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
dessert,beverages,,,,,,,,,
rolls/buns,frozen vegetables,roll products ,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
zwieback,frozen dessert,shopping bags,cream cheese ,,,,,,,
meat,root vegetables,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
cat food,semi-finished bread,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
berries,rolls/buns,pastry,,,,,,,,
cat food,canned beer,sliced cheese,dishes,zwieback,,,,,,
coffee,shopping bags,shopping bags,,,,,,,,
tropical fruit,waffles,bottled beer,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
whole milk,rolls/buns,yogurt,,,,,,,,
root vegetables,zwieback,,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
brown bread,butter milk,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,soda,,,,,,,,,
coffee,yogurt,oil,,,,,,,,
liquor,newspapers,,,,,,,,,
whole milk,bottled beer,UHT-milk,beef,pip fruit,yogurt,salty snack,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,beef,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
whole milk,hamburger meat,pip fruit,curd,margarine,instant coffee,misc. beverages,,,,
ice cream,other vegetables,,,,,,,,,
curd,long life bakery product,,,,,,,,,
rolls/buns,cream cheese ,brown bread,,,,,,,,
rum,onions,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
pip fruit,rolls/buns,shopping bags,,,,,,,,
tropical fruit,pastry,margarine,,,,,,,,
rolls/buns,pork,pastry,other vegetables,soda,pot plants,newspapers,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
bottled beer,pastry,,,,,,,,,
meat,meat,whole milk,cling film/bags,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
yogurt,pip fruit,,,,,,,,,
ham,pickled vegetables,shopping bags,,,,,,,,
root vegetables,coffee,,,,,,,,,
misc. beverages,shopping bags,yogurt,,,,,,,,
waffles,rolls/buns,,,,,,,,,
meat,curd,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
frozen meals,chocolate,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
cream cheese ,soft cheese,,,,,,,,,
root vegetables,bottled beer,newspapers,margarine,domestic eggs,shopping bags,,,,,
chewing gum,beef,domestic eggs,,,,,,,,
pork,tea,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
soda,frozen fish,rolls/buns,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
frozen meals,soda,,,,,,,,,
soda,long life bakery product,,,,,,,,,
herbs,pasta,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
soda,salty snack,,,,,,,,,
whole milk,oil,,,,,,,,,
spread cheese,pork,,,,,,,,,
pork,soda,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
meat,hamburger meat,,,,,,,,,
citrus fruit,soda,,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
ham,tropical fruit,,,,,,,,,
other vegetables,sausage,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
chicken,cream cheese ,napkins,,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
yogurt,roll products ,,,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
chocolate,bottled water,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
tropical fruit,herbs,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
syrup,waffles,,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
curd,semi-finished bread,whole milk,,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
yogurt,bottled water,,,,,,,,,
bottled beer,tropical fruit,red/blush wine,baking powder,,,,,,,
mayonnaise,bottled beer,rolls/buns,specialty fat,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
curd,whipped/sour cream,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
pastry,cereals,,,,,,,,,
whole milk,newspapers,,,,,,,,,
soda,curd,,,,,,,,,
canned beer,soda,,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
ham,beef,bottled water,citrus fruit,dishes,,,,,,
whole milk,butter,,,,,,,,,
meat,coffee,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,newspapers,,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
chicken,shopping bags,,,,,,,,,
onions,soda,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
sausage,chicken,,,,,,,,,
flower (seeds),domestic eggs,,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
pork,brown bread,,,,,,,,,
curd,brown bread,,,,,,,,,
shopping bags,white wine,,,,,,,,,
whole milk,white bread,,,,,,,,,
beef,butter milk,yogurt,soda,,,,,,,
soda,sausage,butter milk,vinegar,,,,,,,
specialty bar,roll products ,Instant food products,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
butter,bottled beer,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
newspapers,whole milk,waffles,,,,,,,,
frankfurter,coffee,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
sausage,whole milk,,,,,,,,,
long life bakery product,waffles,canned vegetables,soft cheese,,,,,,,
chicken,baking powder,,,,,,,,,
butter,shopping bags,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
pork,long life bakery product,,,,,,,,,
other vegetables,frozen dessert,chewing gum,,,,,,,,
pork,whole milk,,,,,,,,,
soda,bottled beer,brown bread,,,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
other vegetables,soft cheese,,,,,,,,,
herbs,chocolate,,,,,,,,,
whole milk,soda,tea,,,,,,,,
pickled vegetables,flour,,,,,,,,,
herbs,chocolate,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
pork,butter,,,,,,,,,
turkey,cream cheese ,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
salt,cream cheese ,,,,,,,,,
berries,other vegetables,,,,,,,,,
citrus fruit,female sanitary products,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
flour,seasonal products,,,,,,,,,
frozen meals,margarine,semi-finished bread,,,,,,,,
citrus fruit,white bread,,,,,,,,,
bottled water,hard cheese,,,,,,,,,
whole milk,sauces,,,,,,,,,
tropical fruit,sausage,root vegetables,spread cheese,,,,,,,
root vegetables,dog food,,,,,,,,,
frankfurter,soda,,,,,,,,,
cat food,napkins,fruit/vegetable juice,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,root vegetables,,,,,,,,,
other vegetables,onions,,,,,,,,,
berries,curd,,,,,,,,,
sausage,newspapers,soda,,,,,,,,
other vegetables,other vegetables,dishes,,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,waffles,,,,,,,,,
frankfurter,coffee,,,,,,,,,
Instant food products,specialty chocolate,,,,,,,,,
butter milk,berries,citrus fruit,napkins,,,,,,,
yogurt,brown bread,newspapers,,,,,,,,
red/blush wine,bottled beer,yogurt,pip fruit,mustard,,,,,,
meat spreads,bottled beer,,,,,,,,,
chicken,oil,,,,,,,,,
ham,curd,,,,,,,,,
other vegetables,pastry,,,,,,,,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
yogurt,pasta,bottled water,,,,,,,,
whole milk,fruit/vegetable juice,shopping bags,shopping bags,,,,,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
butter milk,canned beer,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
soda,whole milk,,,,,,,,,
canned beer,canned beer,,,,,,,,,
pip fruit,curd cheese,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes,,,,,,
rolls/buns,grapes,shopping bags,,,,,,,,
pip fruit,white wine,root vegetables,shopping bags,,,,,,,
organic sausage,grapes,pastry,,,,,,,,
whole milk,soda,soda,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
brown bread,rolls/buns,,,,,,,,,
popcorn,butter,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
rolls/buns,canned fish,chocolate,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
packaged fruit/vegetables,cat food,dental care,,,,,,,,
whole milk,soda,,,,,,,,,
white bread,root vegetables,,,,,,,,,
coffee,soda,,,,,,,,,
pastry,other vegetables,,,,,,,,,
soda,grapes,,,,,,,,,
soda,shopping bags,,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
sausage,rolls/buns,soda,,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
whole milk,bottled beer,,,,,,,,,
misc. beverages,oil,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
root vegetables,popcorn,long life bakery product,domestic eggs,,,,,,,
pastry,whole milk,sausage,soda,soda,sliced cheese,domestic eggs,,,,
citrus fruit,misc. beverages,,,,,,,,,
butter milk,bottled beer,rice,canned vegetables,,,,,,,
bottled water,domestic eggs,pickled vegetables,margarine,,,,,,,
sausage,other vegetables,,,,,,,,,
female sanitary products,margarine,,,,,,,,,
other vegetables,liquor,,,,,,,,,
sausage,bottled water,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
root vegetables,root vegetables,frozen vegetables,,,,,,,,
coffee,cling film/bags,,,,,,,,,
specialty cheese,yogurt,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
white bread,yogurt,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
soda,instant coffee,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
salty snack,specialty bar,brown bread,instant coffee,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
sausage,pastry,mayonnaise,,,,,,,,
other vegetables,curd,beef,white bread,,,,,,,
light bulbs,frozen vegetables,mustard,napkins,,,,,,,
tropical fruit,pork,cream cheese ,UHT-milk,butter milk,,,,,,
curd,brown bread,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
yogurt,candy,canned beer,chocolate,,,,,,,
tropical fruit,soda,oil,,,,,,,,
fruit/vegetable juice,whipped/sour cream,hygiene articles,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
citrus fruit,whipped/sour cream,liquor,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
hamburger meat,butter milk,seasonal products,,,,,,,,
bottled water,red/blush wine,onions,brown bread,,,,,,,
specialty bar,canned beer,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
other vegetables,other vegetables,whole milk,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
beef,white wine,pip fruit,,,,,,,,
other vegetables,waffles,,,,,,,,,
canned beer,sugar,,,,,,,,,
meat,whole milk,,,,,,,,,
other vegetables,bottled water,hard cheese,,,,,,,,
ham,white bread,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
roll products ,canned vegetables,,,,,,,,,
canned fish,shopping bags,,,,,,,,,
other vegetables,curd,,,,,,,,,
beef,candles,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
baking powder,whole milk,rolls/buns,,,,,,,,
canned beer,bottled beer,,,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
brown bread,margarine,chocolate,fruit/vegetable juice,,,,,,,
soda,pip fruit,pasta,,,,,,,,
bottled beer,soda,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
margarine,whole milk,,,,,,,,,
citrus fruit,yogurt,specialty bar,chocolate,,,,,,,
UHT-milk,berries,,,,,,,,,
yogurt,salty snack,,,,,,,,,
beef,domestic eggs,,,,,,,,,
whole milk,canned beer,,,,,,,,,
hard cheese,sweet spreads,,,,,,,,,
root vegetables,soda,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
bottled water,cream cheese ,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
curd,butter,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
other vegetables,white bread,soft cheese,,,,,,,,
dessert,root vegetables,,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
sausage,UHT-milk,,,,,,,,,
root vegetables,onions,,,,,,,,,
sausage,whole milk,,,,,,,,,
pork,domestic eggs,pickled vegetables,,,,,,,,
beef,canned beer,,,,,,,,,
processed cheese,yogurt,,,,,,,,,
beef,berries,root vegetables,,,,,,,,
beef,salty snack,whole milk,domestic eggs,fruit/vegetable juice,whipped/sour cream,cat food,,,,
beef,roll products ,,,,,,,,,
beef,pasta,,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
whole milk,beef,rolls/buns,mustard,,,,,,,
other vegetables,prosecco,pot plants,,,,,,,,
